epoch,Bayes,Dropout,Vanilla
1,95.69,95.42,96.14
2,96.71,96.6,96.77
3,97.41,97.33,97.87
4,97.38,97.66,97.9
5,97.51,97.95,98.02
6,97.67,98.04,97.95
7,97.74,98.15,98.03
8,97.92,98.14,98.26
9,97.69,98.22,97.98
10,97.88,98.21,98.24
