epoch,Bayes,Dropout,Vanilla
1,98.07,98.52,98.38
2,98.01,98.52,98.38
3,98.15,98.52,98.38
4,98.1,98.52,98.38
5,98.04,98.52,98.38
6,98.02,98.52,98.38
7,97.99,98.52,98.38
8,98.07,98.52,98.38
9,98.19,98.52,98.38
10,98.11,98.52,98.38
11,98.1,98.52,98.38
12,98.16,98.52,98.38
13,98.01,98.52,98.38
14,98.11,98.52,98.38
15,98.14,98.52,98.38
16,98.07,98.52,98.38
17,98.06,98.52,98.38
18,98.06,98.52,98.38
19,98.1,98.52,98.38
20,98.05,98.52,98.38
21,98.11,98.52,98.38
22,98.05,98.52,98.38
23,98.14,98.52,98.38
24,98.11,98.52,98.38
25,98.05,98.52,98.38
26,98.1,98.52,98.38
27,98.04,98.52,98.38
28,98.11,98.52,98.38
29,98.16,98.52,98.38
30,98.1,98.52,98.38
31,98.14,98.52,98.38
32,98.07,98.52,98.38
33,98.1,98.52,98.38
34,98.06,98.52,98.38
35,98.08,98.52,98.38
36,98.18,98.52,98.38
37,98.08,98.52,98.38
38,98.13,98.52,98.38
39,98.05,98.52,98.38
40,98.09,98.52,98.38
41,98.07,98.52,98.38
42,98.09,98.52,98.38
43,98.11,98.52,98.38
44,98.07,98.52,98.38
45,98.07,98.52,98.38
46,98.06,98.52,98.38
47,98.07,98.52,98.38
48,98.05,98.52,98.38
49,98.07,98.52,98.38
50,98.13,98.52,98.38
51,98.14,98.52,98.38
52,98.1,98.52,98.38
53,98.07,98.52,98.38
54,98.06,98.52,98.38
55,98.03,98.52,98.38
56,98.09,98.52,98.38
57,98.02,98.52,98.38
58,98.04,98.52,98.38
59,98.08,98.52,98.38
60,97.95,98.52,98.38
61,98.17,98.52,98.38
62,98.12,98.52,98.38
63,98.04,98.52,98.38
64,98.03,98.52,98.38
65,98.19,98.52,98.38
66,98.1,98.52,98.38
67,98.1,98.52,98.38
68,98.06,98.52,98.38
69,98.13,98.52,98.38
70,98.15,98.52,98.38
71,98.06,98.52,98.38
72,98.1,98.52,98.38
73,98.06,98.52,98.38
74,98.05,98.52,98.38
75,98.02,98.52,98.38
76,98.1,98.52,98.38
77,98.09,98.52,98.38
78,98.08,98.52,98.38
79,98.07,98.52,98.38
80,98.14,98.52,98.38
81,98.11,98.52,98.38
82,97.95,98.52,98.38
83,98.13,98.52,98.38
84,98.08,98.52,98.38
85,98.12,98.52,98.38
86,98.11,98.52,98.38
87,98.04,98.52,98.38
88,98.16,98.52,98.38
89,98.07,98.52,98.38
90,98.18,98.52,98.38
91,98.16,98.52,98.38
92,98.05,98.52,98.38
93,98.12,98.52,98.38
94,98.17,98.52,98.38
95,98.09,98.52,98.38
96,98.07,98.52,98.38
97,98.16,98.52,98.38
98,98.12,98.52,98.38
99,98.08,98.52,98.38
100,98.14,98.52,98.38
101,98.16,98.52,98.38
102,98.16,98.52,98.38
103,98.14,98.52,98.38
104,98.06,98.52,98.38
105,98.13,98.52,98.38
106,98.01,98.52,98.38
107,98.21,98.52,98.38
108,98.05,98.52,98.38
109,98.13,98.52,98.38
110,98.06,98.52,98.38
111,98.06,98.52,98.38
112,98.13,98.52,98.38
113,98.15,98.52,98.38
114,98.07,98.52,98.38
115,98.13,98.52,98.38
116,98.12,98.52,98.38
117,98.07,98.52,98.38
118,98.12,98.52,98.38
119,98.07,98.52,98.38
120,98.12,98.52,98.38
121,98.0,98.52,98.38
122,98.11,98.52,98.38
123,97.99,98.52,98.38
124,98.08,98.52,98.38
125,98.09,98.52,98.38
126,98.02,98.52,98.38
127,98.06,98.52,98.38
128,98.06,98.52,98.38
129,98.1,98.52,98.38
130,98.1,98.52,98.38
131,98.1,98.52,98.38
132,98.17,98.52,98.38
133,98.11,98.52,98.38
134,98.16,98.52,98.38
135,98.15,98.52,98.38
136,98.02,98.52,98.38
137,98.21,98.52,98.38
138,98.05,98.52,98.38
139,98.13,98.52,98.38
140,98.18,98.52,98.38
141,98.11,98.52,98.38
142,98.08,98.52,98.38
143,98.15,98.52,98.38
144,98.12,98.52,98.38
145,98.04,98.52,98.38
146,98.18,98.52,98.38
147,98.14,98.52,98.38
148,98.04,98.52,98.38
149,98.06,98.52,98.38
150,98.17,98.52,98.38
151,98.15,98.52,98.38
152,98.12,98.52,98.38
153,98.07,98.52,98.38
154,98.11,98.52,98.38
155,98.08,98.52,98.38
156,97.97,98.52,98.38
157,98.08,98.52,98.38
158,98.1,98.52,98.38
