epoch,Bayes,Dropout,Vanilla
1,95.73,95.61,96.12
2,96.31,96.9,97.12
3,97.21,97.34,97.79
4,97.55,97.71,97.64
5,97.69,97.89,97.95
6,97.71,98.09,98.07
7,98.01,98.1,97.94
8,97.75,98.3,98.21
9,97.85,98.26,98.22
10,97.87,98.26,98.27
11,98.01,98.23,98.27
12,97.77,98.33,98.26
13,98.04,98.23,98.28
14,98.0,98.39,98.18
15,97.95,98.3,98.21
16,97.88,98.49,98.32
17,98.04,98.37,98.35
18,98.07,98.38,98.32
19,98.01,98.42,98.35
20,98.08,98.47,98.26
21,98.02,98.44,98.22
22,98.08,98.52,98.3
23,98.05,98.49,98.29
24,98.0,98.43,98.34
25,97.97,98.5,98.35
26,97.99,98.47,98.36
27,98.07,98.45,98.36
28,98.12,98.45,98.36
29,97.95,98.47,98.36
30,98.1,98.49,98.32
31,98.03,98.48,98.36
32,98.12,98.46,98.37
33,98.06,98.53,98.31
34,98.05,98.52,98.4
35,98.04,98.46,98.39
36,98.07,98.51,98.37
37,98.08,98.53,98.35
38,98.09,98.49,98.4
39,98.12,98.51,98.45
40,98.07,98.51,98.38
41,98.14,98.47,98.39
42,98.22,98.53,98.39
43,98.03,98.47,98.39
44,98.09,98.46,98.38
45,98.06,98.53,98.36
46,98.15,98.54,98.43
47,98.12,98.49,98.36
48,98.02,98.54,98.37
49,98.09,98.54,98.43
50,98.05,98.46,98.37
51,98.21,98.46,98.37
52,98.13,98.44,98.34
53,98.1,98.47,98.39
54,98.03,98.46,98.41
55,97.98,98.54,98.43
56,98.13,98.5,98.37
57,98.06,98.48,98.37
58,98.02,98.51,98.37
59,97.99,98.44,98.39
60,98.16,98.53,98.4
61,98.02,98.47,98.38
62,98.15,98.55,98.39
63,98.09,98.49,98.39
64,98.08,98.51,98.4
65,98.13,98.49,98.39
66,98.06,98.5,98.39
67,98.02,98.48,98.38
68,98.1,98.48,98.38
69,98.08,98.44,98.37
70,98.09,98.49,98.41
71,98.13,98.53,98.39
72,98.1,98.45,98.4
73,98.14,98.43,98.38
74,98.04,98.47,98.38
75,98.09,98.47,98.4
76,98.08,98.52,98.39
77,98.16,98.47,98.39
78,98.01,98.5,98.36
79,98.09,98.47,98.4
80,98.15,98.5,98.4
81,98.04,98.53,98.4
82,98.1,98.53,98.4
83,98.12,98.51,98.4
84,98.04,98.5,98.38
85,98.09,98.5,98.41
86,98.13,98.51,98.4
87,98.02,98.51,98.38
88,98.06,98.48,98.38
89,98.07,98.5,98.37
90,98.1,98.46,98.41
91,98.16,98.47,98.39
92,98.08,98.47,98.38
93,98.09,98.48,98.36
