epoch,Bayes,Dropout,Vanilla
228,98.08,98.61,98.41
229,98.01,98.61,98.41
230,98.03,98.61,98.41
231,98.12,98.61,98.41
232,98.04,98.61,98.41
233,98.05,98.61,98.41
234,98.04,98.61,98.41
235,98.16,98.61,98.41
236,97.99,98.61,98.41
237,98.06,98.61,98.41
238,98.02,98.61,98.41
239,98.04,98.61,98.41
240,98.06,98.61,98.41
241,98.13,98.61,98.41
242,98.08,98.61,98.41
243,97.98,98.61,98.41
244,98.09,98.61,98.41
245,98.01,98.61,98.41
246,98.06,98.61,98.41
247,98.08,98.61,98.41
248,98.06,98.61,98.41
249,98.02,98.61,98.41
250,98.13,98.61,98.41
251,98.06,98.61,98.41
252,98.07,98.61,98.41
253,97.96,98.61,98.41
254,97.99,98.61,98.41
255,98.03,98.61,98.41
256,98.0,98.61,98.41
257,98.04,98.61,98.41
258,98.07,98.61,98.41
259,98.0,98.61,98.41
260,98.13,98.61,98.41
261,98.09,98.61,98.41
262,98.02,98.61,98.41
263,98.04,98.61,98.41
264,98.12,98.61,98.41
265,98.02,98.61,98.41
266,98.07,98.61,98.41
267,98.06,98.61,98.41
268,98.12,98.61,98.41
269,97.99,98.61,98.41
270,98.12,98.61,98.41
271,98.04,98.61,98.41
272,98.1,98.61,98.41
273,98.08,98.61,98.41
274,98.03,98.61,98.41
275,98.08,98.61,98.41
276,98.06,98.61,98.41
277,98.17,98.61,98.41
278,97.97,98.61,98.41
279,98.02,98.61,98.41
280,98.14,98.61,98.41
281,98.15,98.61,98.41
282,98.06,98.61,98.41
283,98.0,98.61,98.41
284,98.04,98.61,98.41
285,98.0,98.61,98.41
286,98.08,98.61,98.41
287,98.09,98.61,98.41
288,98.09,98.61,98.41
289,98.13,98.61,98.41
290,98.1,98.61,98.41
291,98.04,98.61,98.41
292,98.11,98.61,98.41
293,97.94,98.61,98.41
294,98.09,98.61,98.41
295,98.14,98.61,98.41
296,98.0,98.61,98.41
297,98.05,98.61,98.41
298,98.01,98.61,98.41
299,98.09,98.61,98.41
300,98.0,98.61,98.41
