epoch,Bayes,Dropout,Vanilla
1,94.97,94.7,94.73
2,96.43,96.31,96.8
3,96.68,96.96,97.29
4,97.26,97.38,97.6
5,97.39,97.61,97.75
6,97.62,97.64,97.73
7,97.68,97.68,97.94
8,97.63,97.85,97.85
9,97.7,98.13,97.96
10,97.78,98.11,98.21
11,97.79,98.12,98.01
12,97.73,98.21,98.05
13,97.81,98.21,98.08
14,97.9,98.23,98.06
15,97.85,98.19,98.06
16,97.86,98.22,98.12
17,97.81,98.32,98.09
18,97.85,98.29,98.05
19,97.95,98.47,98.05
20,97.88,98.34,98.06
21,97.87,98.41,98.09
22,97.98,98.37,98.18
23,97.83,98.34,98.09
24,97.95,98.34,98.07
25,97.97,98.41,98.11
26,97.91,98.37,98.18
27,98.07,98.32,98.12
28,97.97,98.41,98.15
29,97.95,98.41,98.08
30,97.94,98.38,98.23
31,97.99,98.39,98.12
32,97.92,98.35,98.11
33,98.04,98.37,98.1
34,97.96,98.43,98.07
35,97.98,98.41,98.08
36,97.89,98.43,98.15
37,98.03,98.43,98.13
38,97.92,98.39,98.16
39,98.02,98.39,98.12
40,97.96,98.39,98.09
41,98.05,98.45,98.1
42,97.95,98.36,98.11
43,98.07,98.43,98.13
44,97.99,98.38,98.15
45,98.03,98.46,98.1
46,98.05,98.47,98.11
47,98.04,98.39,98.18
48,97.97,98.41,98.12
49,97.97,98.44,98.15
50,97.98,98.41,98.12
51,98.06,98.48,98.12
52,98.01,98.41,98.11
53,98.09,98.43,98.09
54,98.06,98.43,98.11
55,97.99,98.46,98.14
56,98.08,98.44,98.11
57,98.0,98.43,98.1
58,98.04,98.42,98.1
59,98.0,98.43,98.1
60,97.99,98.45,98.07
61,97.92,98.37,98.11
62,98.05,98.41,98.1
63,98.02,98.45,98.11
64,98.03,98.44,98.08
65,98.01,98.43,98.09
66,98.08,98.44,98.11
67,98.01,98.44,98.12
68,98.1,98.45,98.09
69,98.0,98.47,98.08
70,98.02,98.46,98.13
71,98.01,98.46,98.1
72,98.02,98.45,98.13
73,98.08,98.42,98.08
74,98.04,98.43,98.11
75,97.98,98.4,98.08
76,98.03,98.38,98.1
77,98.04,98.37,98.11
78,98.03,98.41,98.09
79,98.08,98.46,98.11
80,98.01,98.43,98.12
81,98.09,98.46,98.1
82,97.99,98.46,98.11
83,97.94,98.45,98.11
84,98.06,98.45,98.1
85,98.01,98.47,98.13
86,98.0,98.46,98.11
87,98.06,98.47,98.09
88,98.01,98.45,98.09
89,97.97,98.47,98.1
90,98.04,98.48,98.1
91,97.99,98.45,98.09
92,97.97,98.44,98.1
93,98.05,98.43,98.1
94,98.04,98.43,98.1
95,98.07,98.44,98.1
96,98.03,98.44,98.12
97,97.91,98.44,98.09
98,98.02,98.45,98.1
99,98.05,98.44,98.1
100,98.09,98.43,98.09
101,97.97,98.45,98.09
102,98.03,98.43,98.09
103,97.97,98.4,98.12
104,98.05,98.43,98.1
105,98.05,98.41,98.09
106,98.07,98.43,98.09
107,98.02,98.44,98.09
108,98.05,98.43,98.11
109,98.04,98.43,98.09
110,98.05,98.42,98.1
111,98.0,98.42,98.1
112,98.06,98.43,98.09
113,97.96,98.42,98.09
114,98.05,98.41,98.09
115,98.01,98.41,98.09
116,98.05,98.41,98.09
117,98.05,98.4,98.1
118,97.98,98.4,98.09
119,98.06,98.42,98.09
120,98.08,98.42,98.09
121,97.96,98.41,98.09
122,98.1,98.4,98.09
123,98.08,98.4,98.09
124,98.06,98.41,98.09
125,98.01,98.41,98.09
126,98.0,98.42,98.09
127,98.04,98.41,98.09
128,97.99,98.4,98.09
129,98.08,98.4,98.09
130,98.01,98.42,98.09
131,98.0,98.42,98.09
132,98.12,98.43,98.09
133,98.01,98.43,98.09
134,98.08,98.42,98.09
135,97.98,98.43,98.09
136,98.08,98.43,98.09
137,98.02,98.43,98.09
138,97.95,98.42,98.09
139,97.99,98.42,98.09
140,98.03,98.42,98.09
141,98.03,98.42,98.09
142,98.06,98.42,98.09
143,97.97,98.42,98.09
144,98.09,98.43,98.09
145,98.08,98.43,98.09
146,98.02,98.43,98.09
147,98.07,98.43,98.09
148,98.04,98.43,98.09
149,98.01,98.42,98.09
150,98.05,98.42,98.09
151,98.06,98.42,98.09
152,98.1,98.42,98.09
153,98.05,98.43,98.09
154,98.05,98.43,98.09
155,98.08,98.43,98.09
156,97.9,98.43,98.09
157,98.05,98.43,98.09
158,98.03,98.43,98.09
159,98.0,98.43,98.09
160,97.94,98.43,98.09
161,98.1,98.43,98.09
162,97.97,98.43,98.09
163,98.1,98.43,98.09
164,98.09,98.43,98.09
165,98.01,98.43,98.09
166,98.03,98.43,98.09
167,98.01,98.43,98.09
168,98.01,98.43,98.09
169,98.03,98.43,98.09
170,98.04,98.43,98.09
171,98.01,98.43,98.09
172,98.05,98.43,98.09
173,98.01,98.43,98.09
174,98.09,98.43,98.09
175,98.08,98.43,98.09
176,98.09,98.43,98.09
177,98.08,98.43,98.09
178,98.03,98.43,98.09
179,98.09,98.43,98.09
180,98.1,98.43,98.09
181,98.1,98.43,98.09
182,98.02,98.43,98.09
183,97.95,98.43,98.09
184,98.03,98.43,98.09
185,98.03,98.43,98.09
186,98.03,98.43,98.09
187,98.05,98.43,98.09
188,97.97,98.43,98.09
189,98.02,98.43,98.09
190,98.01,98.43,98.09
191,98.16,98.43,98.09
192,98.06,98.43,98.09
193,97.97,98.43,98.09
194,98.01,98.43,98.09
195,98.06,98.43,98.09
196,98.02,98.43,98.09
197,98.06,98.43,98.09
198,97.97,98.43,98.09
199,98.09,98.43,98.09
200,97.99,98.43,98.09
201,98.06,98.43,98.09
202,98.03,98.43,98.09
203,97.97,98.43,98.09
204,97.92,98.43,98.09
205,98.15,98.43,98.09
206,98.0,98.43,98.09
207,98.14,98.43,98.09
208,98.09,98.43,98.09
209,97.98,98.43,98.09
210,98.04,98.43,98.09
211,98.05,98.43,98.09
212,98.01,98.43,98.09
213,97.99,98.43,98.09
214,97.96,98.43,98.09
215,98.03,98.43,98.09
216,97.99,98.43,98.09
217,98.03,98.43,98.09
218,97.98,98.43,98.09
219,98.12,98.43,98.09
220,98.06,98.43,98.09
221,98.05,98.43,98.09
222,98.06,98.43,98.09
223,98.04,98.43,98.09
224,97.92,98.43,98.09
225,97.97,98.43,98.09
226,98.06,98.43,98.09
227,97.96,98.43,98.09
228,98.04,98.43,98.09
229,98.12,98.43,98.09
230,98.04,98.43,98.09
231,98.04,98.43,98.09
232,98.08,98.43,98.09
233,97.93,98.43,98.09
234,98.09,98.43,98.09
235,98.02,98.43,98.09
236,98.05,98.43,98.09
237,98.06,98.43,98.09
238,98.03,98.43,98.09
239,98.04,98.43,98.09
240,98.06,98.43,98.09
241,97.99,98.43,98.09
242,98.08,98.43,98.09
243,98.02,98.43,98.09
244,98.03,98.43,98.09
245,98.02,98.43,98.09
246,98.03,98.43,98.09
247,98.07,98.43,98.09
248,98.0,98.43,98.09
249,98.02,98.43,98.09
250,98.03,98.43,98.09
251,98.07,98.43,98.09
252,98.12,98.43,98.09
253,98.03,98.43,98.09
254,98.05,98.43,98.09
255,98.02,98.43,98.09
256,98.13,98.43,98.09
257,98.1,98.43,98.09
258,98.03,98.43,98.09
259,98.06,98.43,98.09
260,97.99,98.43,98.09
261,98.07,98.43,98.09
262,98.01,98.43,98.09
263,98.02,98.43,98.09
264,98.01,98.43,98.09
265,98.08,98.43,98.09
266,98.1,98.43,98.09
267,97.98,98.43,98.09
268,98.03,98.43,98.09
269,98.08,98.43,98.09
270,97.98,98.43,98.09
271,98.05,98.43,98.09
272,98.09,98.43,98.09
273,98.08,98.43,98.09
274,98.08,98.43,98.09
275,97.99,98.43,98.09
276,98.02,98.43,98.09
277,98.05,98.43,98.09
278,98.04,98.43,98.09
279,98.01,98.43,98.09
280,98.12,98.43,98.09
281,98.02,98.43,98.09
282,97.95,98.43,98.09
283,98.05,98.43,98.09
284,98.0,98.43,98.09
285,98.01,98.43,98.09
286,98.01,98.43,98.09
287,98.08,98.43,98.09
288,98.01,98.43,98.09
289,98.01,98.43,98.09
290,98.0,98.43,98.09
291,98.05,98.43,98.09
292,97.96,98.43,98.09
293,98.06,98.43,98.09
294,98.05,98.43,98.09
295,98.04,98.43,98.09
296,98.04,98.43,98.09
297,98.09,98.43,98.09
298,98.03,98.43,98.09
299,98.04,98.43,98.09
300,98.07,98.43,98.09
